目不转睛,Feel & Sight,http://music.163.com/#/song?id=546279760
目不转睛 (Live),中国新说唱 第7期,http://music.163.com/#/song?id=1304920094
童言无忌 (Live),中国新说唱 第9期,http://music.163.com/#/song?id=1306498831
三思而后行 ,三思而后行,http://music.163.com/#/song?id=1313052961
时间是金 (Live),中国新说唱 第9期,http://music.163.com/#/song?id=1306498829
悬崖华尔兹 (Live),中国新说唱 第3期,http://music.163.com/#/song?id=1296583189
梦魇 (live),中国新说唱 第11期,http://music.163.com/#/song?id=1311347344
Champ(Live),中国新说唱 第6期,http://music.163.com/#/song?id=1302091338
追梦 (Live),中国新说唱 第5期,http://music.163.com/#/song?id=1300594121
童言无忌（不插电）,闪火mixtape,http://music.163.com/#/song?id=449239668
打个总结 (fly and ride),闪火mixtape,http://music.163.com/#/song?id=449239631
PUMA,PUMA,http://music.163.com/#/song?id=1308778163
打个总结 (Live),中国新说唱 第2期,http://music.163.com/#/song?id=1294899232
时间是金/ Time Is A Fool,闪火mixtape,http://music.163.com/#/song?id=449235912
Better Than Me？Feat. 辛巴 &amp; Pact,Feel & Sight,http://music.163.com/#/song?id=546282750
Liquor Whisper,Feel & Sight,http://music.163.com/#/song?id=546281919
吴亦凡战队Cypher (Live),中国新说唱 第7期,http://music.163.com/#/song?id=1305111058
梦魇 Feat 梦徐MX Prod. By CANIS MAJOR,Feel & Sight,http://music.163.com/#/song?id=546282611
Mask Off Remix (freestyle),Mask Off Remix (freestyle),http://music.163.com/#/song?id=474909514
Dream Girl,Dream Girl,http://music.163.com/#/song?id=1311401375
I Feel Great Feat. 黄旭,Feel & Sight,http://music.163.com/#/song?id=546281866
C.D.C (Panorama City Remix),Feel & Sight,http://music.163.com/#/song?id=546277965
- Skrr（王以太 remix）,Skrr (SKRT Remix),http://music.163.com/#/song?id=449004958
中国新说唱EP05-RAP05,中国新说唱 第5期,http://music.163.com/#/song?id=1300595127
Come and Stay with me,闪火mixtape,http://music.163.com/#/song?id=449235296
结不完REMIX,结不完REMIX,http://music.163.com/#/song?id=555142247
yelawolf - 猎人（till its gone）（王以太 remix）,闪火mixtape,http://music.163.com/#/song?id=449234664
结不完,结不完,http://music.163.com/#/song?id=536295979
FEEL. REMIX,Feel & Sight,http://music.163.com/#/song?id=546285149
也是福Freestyle Prod. By 也是福,Feel & Sight,http://music.163.com/#/song?id=546283046
wiz khalifa-豹子 (king of everything remix)（王以太 Remix）,闪火mixtape,http://music.163.com/#/song?id=449233677
铁血战士,铁血战士,http://music.163.com/#/song?id=1313363971
